Category,Carbohydrate/g,Data.Cholesterol/mg,Data.Fiber/g,Data.Kilocalories/kcal,Data.Protein/g,Data.Sugar Total/g,Data.Water/g,Data.Fat.Total Lipid/g,Data.Major Minerals.Calcium/mg,Data.Major Minerals.Iron/mg,Data.Major Minerals.Sodium/mg,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin B12/ug,Data.Vitamins.Vitamin B6/mg,Data.Vitamins.Vitamin C/mg,Data.Vitamins.Vitamin E/mg,Data.Vitamins.Vitamin K/ug
HAZELNUT,17.00,0.00,11.00,629,13.70,3.49,5.79,61.15,149.00,3.30,0.00,40.00,0.00,0.59,2.00,17.50,0.00
MOUNTAIN YAM,16.31,0.00,0.00,67,1.34,0.00,81.44,0.10,26.00,0.44,13.00,0.00,0.00,0.18,2.60,0.00,0.00
ICEBERG LETTUCE,2.97,0.00,1.20,14,0.90,1.97,95.64,0.14,18.00,0.41,10.00,502.00,0.00,0.04,2.80,0.18,24.10
KIWI FRUIT,14.66,0.00,3.00,61,1.14,8.99,83.07,0.52,34.00,0.31,3.00,87.00,0.00,0.06,92.70,1.46,40.30
OKRA( Lady Finger),7.03,0.00,3.20,31,2.00,1.20,90.17,0.10,81.00,0.80,8.00,375.00,0.00,0.22,21.10,0.36,53.00
LEMON,10.70,0.00,4.70,20,1.20,0.00,87.40,0.30,61.00,0.70,3.00,30.00,0.00,0.11,77.00,0.00,0.00
LIME,10.54,0.00,2.80,30,0.70,1.69,88.26,0.20,33.00,0.60,2.00,50.00,0.00,0.04,29.10,0.22,0.60
YARDLONG BEAN,8.35,0.00,0.00,47,2.80,0.00,87.85,0.40,50.00,0.47,4.00,865.00,0.00,0.02,18.80,0.00,0.00
LOTUS ROOT,17.23,0.00,4.90,74,2.60,0.00,79.10,0.10,45.00,1.16,40.00,0.00,0.00,0.26,44.00,0.00,0.00
ORANGE,11.75,0.00,2.40,47,0.94,9.35,86.75,0.12,40.00,0.10,0.00,225.00,0.00,0.06,53.20,0.18,0.00
MANGO,17.00,0.00,1.80,65,0.51,14.80,81.71,0.27,10.00,0.13,2.00,765.00,0.00,0.13,27.70,1.12,4.20
MULBERRY,9.80,0.00,1.70,43,1.44,8.10,87.68,0.39,39.00,1.85,10.00,25.00,0.00,0.05,36.40,0.87,7.80
PEAR,10.65,0.00,3.60,42,0.50,7.05,88.25,0.23,4.00,0.00,0.00,0.00,0.00,0.02,3.80,0.12,4.50
PAPAYA,9.81,0.00,1.80,39,0.61,5.90,88.83,0.14,24.00,0.10,3.00,1094.00,0.00,0.02,61.80,0.73,2.60
PEACH,9.54,0.00,1.50,39,0.91,8.39,88.87,0.25,6.00,0.25,0.00,326.00,0.00,0.03,6.60,0.73,2.60
DRAGON FRUIT,12.94,0.00,2.90,60,1.18,7.65,-1.00,0.00,18.00,0.74,0.00,59.00,-1.00,-1.00,4.00,-1.00,-1.00
Cherry,16.00,0.00,2.10,63,1.06,12.80,82.20,0.20,13.00,0.36,0.00,64.00,0.00,0.05,7.00,0.07,0.00
Calamansi,27.00,0.00,-1.00,37,0.00,27.00,-1.00,1.00,15.00,0.50,0.00,0.00,-1.00,-1.00,27.00,-1.00,-1.00
RockMelon,8.14,0.00,0.90,34,-1.00,7.85,-1.00,0.00,8.98,0.23,15.99,508.00,-1.00,-1.00,36.70,-1.00,2.50
Logan,17.9,0,0.7,86,0.71,17.90,-1.00,0.71,14.00,0.26,36.00,0.00,-1.00,-1.00,0.00,-1.00,-1.00
Gai lan,4.67,0.00,2.60,26,1.20,0.88,92.60,0.76,105.00,0.59,7.00,1720.00,0.00,0.07,29.60,0.50,89.10
Kang Kong,3.13,0.00,2.10,19,2.60,-1.00,-1.00,0.20,77.00,1.67,113.00,6300.00,0.00,0.10,55.00,-1.00,-1.00
dried cranberry,82.80,0.00,5.30,308,0.17,72.6,-1.00,1.09,9.00,0.39,5.00,46.00,0.00,0.04,0.20,2.10,7.60
Dry Date,74.97,0,7,277,1.81,66.47000122,21.32,0.15,64,0.9,1,149,0,0.249,0,0,2.7
Dried StrawBerry,62.5,0.00,5.00,32.50,1.12,57.50,-1.00,0.00,5.00,0.50,-1.00,0.00,-1.00,-1.00,20.00,-1.00,-1.00
